start	end	text
0	2680	如何渡过二十几岁人生的奥德赛时期
2680	5760	如果非要形容我这两年的人生规划变得有多快的话
5760	9280	就是今天我和去年的我谈起来这个话题都得打一架
9280	11240	身边的朋友也说我一天一个样
11240	12240	我就很焦虑
12240	15040	难道我真的是一个没有原则反复无常的人吗
15040	17920	直到我最近我学到了一个次叫奥德赛时期
17920	19120	他是一个社会学概念
19120	22760	用来描述现在年轻人通常是25岁到30多岁
22760	23800	焦虑迷茫
23800	25720	悲观没有动力的这个时期
25720	28280	这个年龄阶段的年轻人刚从学校毕业
28280	31200	没有进入到一个稳定的工作和家庭关系中
31200	34720	需要经历过一段漫长时间的自我探索与反复漂泊
34720	36400	学习到了这个理晨我才知道
36400	37440	原来大家都这样
37440	38640	那我就放心了
38640	40320	但是问题总归需要解决
40320	43280	直到今天我才可以说是对人生有了一些方向
43280	45440	本期视频我想从我的视角来讲述一下
45440	46840	为什么这个阶段如此呢
46840	50160	以及我们该如何平稳的渡过人生奥德赛时期
50160	51280	与我们的腹肥不同
51280	53880	我们这一代人面临着前所未有的选择自由
53880	55720	我们可以选择自己的职业生涯
55720	56720	人生伴侶
56720	58840	所居住的城市以及生活方式
58840	60200	心里学有一个备论
60200	62520	讲的是过度的选择不会带来自由
62520	64960	反而会带来决策贪婪和适合怀恨
64960	66280	我教绿的原因是
66280	68440	在读验时期我放弃了原本的专业
68440	70000	选择了成为一名程序员
70000	71480	在毕业面临工作的时候
71480	73680	本来是想去一个朋友多的城市
73680	76240	但结果因为一段关系选择留在了北京
76240	77720	那当这段关系结束后
77720	81000	我的境地变成了一个人在一个原本不太喜欢的城市
81000	83360	从事这高时场高压力的工作
83360	84960	局务无侵也没有朋友
84960	86480	本来的我是一个喜欢聚会
86720	88080	和朋友相处的人
88080	90680	那现在反而我要强迫自己学会读处
90680	92520	命运好像在推着我走
92520	94480	但每一个选择又都是我自己做的
94480	96400	我确实不知道未来就都在哪里
96400	97640	选择什么样的城市
97640	99040	从事什么样的工作
99040	101640	心里学家融客提到一个人要想找到自己
101640	102960	可以从读处开始
102960	103880	那和信用的是
103880	106040	我确实从读处中找到了一些思路
106040	107440	我也想与你一起分享
107440	109920	如何读过这段艰难的奥德赛时期
109920	112120	第一个方法是找到人生的愿景
112120	113440	有人生愿景来反推
113440	115120	你目前应该所要的生活
115120	117800	我想分享一个我又来找到人生愿景的方法
117800	119080	想像你自己的造力
119080	121280	那时候你的亲朋好友都在场
121280	123200	主持人手里握的是你的道词
123200	125320	你希望道词里写的是什么样的内容呢
125320	127720	你又希望亲朋好友是如何怀念你的呢
127720	130240	这份道词就应该是你的人生愿景
130240	131040	对我来说
131040	132720	我希望我是一个充满激情
132720	133680	附入创造力
133680	134400	心口如意
134400	136560	并且能给他人带来积极影响的人
136560	137520	所以此时此刻
137520	138760	你看到了我的视频
138760	140360	我想在了解自己的过程中
140360	141960	给别人也带来一些宽位
141960	144280	第二个方法是多区阅读
144280	145760	我这两年变化大的原因
145760	148480	我觉得也是因为我之前几乎不阅读
148480	150160	到突然开始大量阅读之后
150160	151800	我的人生观在迅速地奔他
151800	152680	然后重建
152680	154320	其中对于我找到人生目标
154320	156000	影响力大的数字过一个疗馆
156000	157760	第一本书是被讨厌的勇气
157760	160200	他让我知道一个人要想活出自己
160200	162920	那视频不会被他人的评价体系所接受
162920	165080	自由的表现就是被他人讨厌
165080	167200	这让我敢于跳出社会的规讯
167200	169160	不然找他人的人生目标而火
169160	170880	第二本书是纳瓦尔保典
170880	173280	人应该追求采负而非惊且地位
173280	175080	我们唯一拥有的就是当下
175080	177720	所以我开始珍惜当下过后每一天
177720	179760	而不是等待未来的某一个重要节点
179760	182040	我的第三个方法是找到一个广要
182040	185280	这也是最简单的让你知道如何找到人生方向的方式
185280	186960	去找到一个你想成为的人
186960	187960	以他为榜样
187960	189000	如果他是一个名人
189000	190240	那就去读他的书
190240	191480	去参加他的社群
191480	192960	如果是一个身边的人
192960	194360	那就去积极地接近他
194360	195920	和他成为同事或者朋友
195920	198400	环境对一个人的诉讼力远超我们的想象
198400	201600	你的水平最终会等同于身边五个人的平均水平
201640	203960	我离开上一家公司的一个重要原因就是
203960	205800	我离开到的生活并不是我想要的
205800	207000	那如果努力工作
207000	208920	尽中的镜头并不是我想要的话
208920	210680	这条职业路径一定是走不通的
210680	212480	而现在的工作我觉得比较舒适
212480	214080	是因为至少有一部分人
214080	216960	他们的生活方式是10年内的我可以结束的
216960	218400	再久的时候我就不去想了
218400	220840	27岁想把37岁的生活都归滑好了
220840	222280	那肯定是不现实的
222280	223640	走一步看一步就行了
223640	225680	希望我们都能平稳地读过这段时期
