start	end	text
0	4080	我不你说,如果说你想知道一个女人到底有没有在骗你其实很简单
4080	6400	你要是一问她,她不是老修程度,就是必而不谈
6400	8320	不用怀疑了,这女人肯定在骗你,没有意义
8320	11280	好多兄弟遇到这种情况,自我安慰说可能是我想多了
11280	13760	因为或者一共老冲上去,是问你是不是在骗我
13760	16640	还有的,直接干罪,就当做什么都没发生,继续当冤大头
16640	19600	所有这些做法只会让你现在更加深,还亏得更多
19600	22480	老豆自全的兄弟里边有相当一部分都在这种情况
22480	24640	明明先里边已经有答案了,但就是不敢面对
24640	27360	总想说,再给地方一次机会,结果呢,时间大进去了
27360	29120	前大进去了,最后,人才两个
29120	31800	来过我填保的名字,我知道有的兄弟反而就会想
31800	33200	万一真的是我多心了
33200	34760	万一他只是信得比较独立呢
34760	36720	兄弟啊,你就记住烤铁这句话了
36720	37880	一个真心喜欢你的女人
37880	39560	他是拔不得让你知道他的一切的
39560	41480	他去哪儿了,他跟谁在一块儿,他在干什么呀
41480	42800	他恨不得事无剧席的跟你会报
42800	43600	我生怕你误会他
43600	45120	但是呢,一个心里边有鬼的女人呢
45120	46920	他的第一反应呢,因为是回禀,是模糊
46920	48720	是把你的怀疑说成是你想太多了
48720	49800	更狠的是什么
49800	51880	是他还会反过来指责你,你不信任他
51880	52680	让你踩中亏就办
52680	53280	这招叫什么
53280	55160	这叫贼很捉贼哦,这叫刀打一爬
55160	56880	所以说,最近嘛,女人的嘴可以骗你
56880	58960	但他面对至于说不反应,他是骗不了人的
58960	60760	那么一段这种情况我们到底应该怎么办
60760	63120	今天跑去就拿一个真实的案例给兄弟们拆解一下
63120	64280	手把手上的我们时过
64280	65760	怎么指损怎么体面手上
65760	66920	这个兄弟今年32岁
66920	67680	工作七八年
67680	69920	在一家还不错的一个公司做技术
69920	70520	收入稳定
70520	72200	手里边还是供着一套两局势
72200	74280	说实话,这条件放在相听市场上
74280	75000	绝对是相伯伯
75000	76040	但这哥们儿就是老实
76040	77120	不太会跟女儿子打交道
77120	77960	每一次回老家
77960	79400	这爸妈那脸子就不太好看
79400	80480	最后脆的他压力善了
80480	81200	三个月之前
81200	83160	这个兄弟就跟几个哥们儿去酒吧喝酒
83160	83760	我小巨
83760	85840	凌多多少几个打扮十毛的女生
85840	86480	接着酒精
86480	88200	朋友就穿着他去大善嘛
88200	89600	他撞了胆的过去进了没酒
89600	91360	没想到还真加上其中一女生都没信
91360	92200	女生长得漂亮啊
92200	93080	会打扮说话一天
93080	94160	嘴里的哥哥呀
94160	94920	那叫我的那兄弟呢
94920	95680	这说基本话
95680	96400	两个多月呢
96400	97920	他请他吃了不下食顿饭
97920	99520	那送过包送过什么香水银
99520	100720	然后每次约会回来
100720	101560	就是打车嘛
101560	102360	也都是他负的钱
102360	103680	前天后都化了小三万了
103680	105600	这兄弟就觉得这些投入都是应该的
105600	107520	毕竟他是真心想和人家发展下去了
107520	108240	但是慢慢的
108240	109760	这兄弟就发现有些事不太最近
109760	110680	这女生的朋友圈儿呢
110680	112200	经常发一些高党餐厅的照片
112200	113600	但是从来不说是跟谁去的
113600	115400	有时候聊着聊着突然就不会消息了
115400	116560	过几个小时才冒出来说
116560	117040	刚才在忙
117040	117880	约他周末见面
117880	119040	他也就总说有安排
119040	119760	问什么安排呢
119760	120960	又执着污不肯细说
120960	122400	这兄弟就忍不住试探了一句
122400	123600	你是不是孩子跟别人聊
123600	124240	你生气笑着说
124240	124880	你想多了
124880	126000	然后就把话里给插开了
126000	126600	他又问了一层
126600	128000	你生气就有点不耐烦了
128000	128840	你怎么老问这个
128840	129680	我朋友多不行了
129680	130880	这兄弟夹在这个信任
130880	132160	还一直坚持进退两难
132160	133240	实在没办法才找到我
133240	135000	那就给我说了一下他的情况之后
135000	136000	我就跟他说兄弟
136000	137040	你这情况我见太多了
137040	138680	这女生是有八九之后在养鱼
138680	140320	你只是他鱼汤里的其中一条
140320	141400	兄弟不在相近啊
141400	141800	他说
141800	142120	讨解
142120	142920	不必是我想多了
142920	143960	他平时对我也挺好的
143960	144760	我说好不屁
144760	146000	我问你三个问你自己屁
146000	146400	第一
146400	148280	他有没有正式把你介绍给他的朋友
148280	148960	或者说家人
148960	149200	第二
149200	150360	你们有没有确定过关系
150360	150680	第三
150680	152240	每次花钱是不是都是你主动的
152240	153240	或者说是他暗示的
153240	154000	兄弟就沉默
154000	154640	全重
154640	155400	我告诉他
155400	156320	这趟喜欢你的女人
156320	157680	他是舍不得让你们把这么多钱
157680	158200	他会心疼
158200	159720	但一个把你当替款机在女人
159720	161800	他只会不断的试探的底线
161800	162840	看你还能够付出多少
162840	163800	而且你注意到没有
163800	164600	每次你试探他
164600	165440	他要么就是
165440	166000	你想多了
166000	166760	轻描淡解带过
166760	167240	要么就是
167240	168040	你怎么老问这个
168040	169560	反过来指责你对两种反应
169560	170640	恰恰就是心虚的表现
170640	171600	一个轻轻白白的员
171600	172080	被冤枉
172080	172800	他会着急自证
172800	174040	他会把事情解释了
174040	174560	轻轻直死
174560	175000	他生怕你
175000	175280	你为什么
175280	175720	但是呢
175720	176680	一个心里边有鬼的
176680	178320	他只想能否赶紧把这个话题翻篇
178320	179040	因为说得越多
179040	179680	漏洞越多
179680	180280	兄弟就问我
180280	181160	那我现在应该怎么办
181160	181760	我说别急
181760	182480	现在最重要的
182480	183240	不是跟他探牌
183240	184120	而是先确认识识
184120	184760	你直接问他
184760	185560	他肯定不会承认
185560	186280	所以说我们就得
186280	186960	换个方式
186960	187800	我让兄弟这样回去
187800	188760	最近公布太忙了
188760	190120	可能没有太多时间陪你
190120	191120	你要是有别的安排
191120	191800	你就先忙你的吧
191800	192840	这招叫多以退为监
192840	193480	你不追问吗
193480	194120	你不纠缠了
194120	195080	你反而给他再空间
195080	196360	他的反应就会告诉你一切
196360	197080	果然这个女生
197080	197640	就秒回来
197640	198360	怎么突然这么说
198360	199160	兄弟们看到没有
199160	200360	这个就是心虚的反应
200360	201360	一个真正喜欢你的女人
201360	201920	听到这话
201920	202560	他会担心
202560	203120	他会追问
203120	204120	你是不是对我有意见了
204120	204880	不想办法来见
204880	206000	但女生的反应是什么
206000	207040	是试探你的态度
207040	207520	他想知道
207520	208640	你是不是发现了什么
208640	209840	然后我让兄弟就接着回
209840	210280	没什么
210280	210880	就是想着想
210880	212400	我们好像也没确定什么关系
212400	213720	你也不用总是围着我转
213720	214240	这句话
214240	215600	就直接点破了安排的文池
215600	216560	我们什么关系都不重要
216560	218160	你一个真正想跟你在一起的女人
218160	218680	听到这话
218680	219280	他会着急的
219280	220520	他会想到一个零区的答复
220520	222000	但是一个只是想掉着这些女人
222000	222680	他会怎么反应
222680	223240	女生就回
223240	224360	你今天怎么怪怪的
224360	225680	是不是有人跟你说了什么
225680	226080	兄弟们
226080	226840	你们习近这句话
226840	227680	他第一时间想到的
227680	228800	不是我们赶紧把这个关系
228800	229600	给确定将来
229600	230040	而是
